seed,idx,mode,swap,step,choice
1,2,s,true,,1
2,0,s,false,,3
1,5,s,false,12,1
3,3,s,false,,3
4,1,s,true,4,4
0,6,t,true,,1
1,6,t,true,,0
3,6,t,true,,1
1,2,t,false,,3
2,6,t,false,,1
1,7,s,false,,2
2,1,t,true,,3
0,2,s,false,,3
2,5,t,true,,1
1,4,t,false,,3
3,2,t,true,,1
2,7,s,false,,4
0,6,s,true,6,1
0,6,s,true,5,1
4,6,s,true,5,0
3,7,t,false,,4
4,2,t,true,,1
4,0,s,true,6,3
0,1,t,true,,3
0,7,s,true,4,1
1,5,s,false,,1
0,5,s,true,,1
2,4,s,false,2,3
3,4,t,true,,1
3,2,s,true,,0
0,6,s,true,,4
1,1,t,true,,0
3,6,s,false,3,1
2,2,s,false,9,4
2,5,s,true,,3
4,0,t,false,,1
3,7,s,true,,3
1,5,t,true,,0
2,4,s,true,,1
4,0,s,true,,1
0,4,t,true,,1
0,4,s,true,,3
3,1,s,false,,4
2,1,s,false,,4
1,1,s,true,,3
3,4,s,false,3,1
4,7,s,false,,1
3,5,s,false,,2
2,3,s,true,5,1
0,3,t,false,,3
1,7,t,true,,0
4,3,t,true,,3
3,0,t,true,,0
3,3,t,false,,3
1,0,s,true,,3
4,4,s,false,,3
4,5,t,true,,0
1,1,s,true,14,4
1,6,s,true,,4
1,3,s,false,,3
3,0,s,false,,1
0,5,t,false,,3
2,6,s,false,2,2
2,2,t,false,,2
0,7,t,false,,3
4,7,t,false,,4
0,0,t,false,,3
3,5,s,false,0,3
2,4,t,false,,3
0,2,t,false,,4
2,2,s,false,,1
0,0,s,false,,3
2,0,s,false,13,3
0,1,s,true,1,3
2,3,s,false,,3
3,1,t,true,,0
2,6,s,true,,3
3,4,s,true,,3
3,5,t,false,,4
2,0,t,false,,3
0,3,s,false,,4
4,2,s,false,,3
0,7,s,true,,1
4,4,t,false,,3
3,1,s,false,8,1
3,6,s,true,,3
4,1,t,true,,1
1,5,s,true,8,3
0,1,s,false,,1
2,7,t,true,,1
4,1,s,false,,2
2,3,t,true,,3
1,0,t,false,,3
4,6,s,true,,1
4,6,t,false,,3
1,4,s,true,,1
1,3,t,true,,1
4,5,s,false,,3
4,3,s,true,,1
4,3,s,false,9,0
